Peter Thiel,https://www.crunchbase.com/person/peter-thiel,Co-Founder & Partner,Founders Fund,https://www.crunchbase.com/organization/founders-fund,1,http://twitter.com/peterthiel
Mark Zuckerberg,https://www.crunchbase.com/person/mark-zuckerberg,Founder & CEO,Facebook,https://www.crunchbase.com/organization/facebook,2,https://twitter.com/finkd
Elon Musk,https://www.crunchbase.com/person/elon-musk,"Co-Founder, Product Architect and CEO",Tesla Motors,https://www.crunchbase.com/organization/tesla-motors,3,http://twitter.com/elonmusk
Barack Obama,https://www.crunchbase.com/person/barack-obama,President,White House,https://www.crunchbase.com/organization/the-white-house,4,http://twitter.com/BarackObama
Jeff Bezos,https://www.crunchbase.com/person/jeff-bezos,CEO,Amazon,https://www.crunchbase.com/organization/amazon,5,https://twitter.com/jeffbezos
Steve Jobs,https://www.crunchbase.com/person/steve-jobs,Co-Founder,Apple,https://www.crunchbase.com/organization/apple,6,https://twitter.com/SJobsLegend
Travis Kalanick,https://www.crunchbase.com/person/travis-kalanick,CEO & Co-Founder,Uber,https://www.crunchbase.com/organization/uber,7,http://twitter.com/travisk
Tim Cook,https://www.crunchbase.com/person/tim-cook,CEO,Apple,https://www.crunchbase.com/organization/apple,8,http://twitter.com/tim_cook
Jack Dorsey,https://www.crunchbase.com/person/jack-dorsey,CEO,Twitter,https://www.crunchbase.com/organization/twitter,9,https://twitter.com/jack
Mark Cuban,https://www.crunchbase.com/person/mark-cuban,Owner,Dallas Mavericks,https://www.crunchbase.com/organization/dallas-mavericks,10,http://twitter.com/mcuban
Eric Schmidt,https://www.crunchbase.com/person/eric-schmidt,Executive Chairman,Alphabet,https://www.crunchbase.com/organization/alphabet,11,https://twitter.com/ericschmidt
Bill Gates,https://www.crunchbase.com/person/bill-gates,Founder,Microsoft,https://www.crunchbase.com/organization/microsoft,12,https://twitter.com/BillGates
Sam Altman,https://www.crunchbase.com/person/sam-altman,"President, YC Group",Y Combinator,https://www.crunchbase.com/organization/y-combinator,13,http://twitter.com/sama
Ashton Kutcher,https://www.crunchbase.com/person/ashton-kutcher,Founder,A-Grade Investments,https://www.crunchbase.com/organization/a-grade-investments,14,http://twitter.com/aplusk
Evan Spiegel,https://www.crunchbase.com/person/evan-spiegel,Co-Founder & CEO,Snap Inc.,https://www.crunchbase.com/organization/snapchat,15,http://twitter.com/evanspiegel
Hillary Clinton,https://www.crunchbase.com/person/hillary-clinton,Nominee,Democratic National Committee,https://www.crunchbase.com/organization/democratic-national-committee,16,https://twitter.com/HillaryClinton
Vijay Shekhar Sharma,https://www.crunchbase.com/person/vijay-shekhar-sharma,Founder and CEO,Paytm,https://www.crunchbase.com/organization/paytm,18,http://twitter.com/vijayshekhar
Donald J. Trump,https://www.crunchbase.com/person/donald-trump,Chairman and President,The Trump Organization,https://www.crunchbase.com/organization/the-trump-organization,19,http://twitter.com/realDonaldTrump
Larry Page,https://www.crunchbase.com/person/larry-page,CEO & Founder,Alphabet,https://www.crunchbase.com/organization/alphabet,20,
Sheryl Sandberg,https://www.crunchbase.com/person/sheryl-sandberg,COO,Facebook,https://www.crunchbase.com/organization/facebook,21,http://twitter.com/sherylsandberg
Marissa Mayer,https://www.crunchbase.com/person/marissa-mayer,CEO & President,Yahoo!,https://www.crunchbase.com/organization/yahoo,22,http://twitter.com/marissamayer
James Park,https://www.crunchbase.com/person/james-park,CEO and Co-Founder,Fitbit,https://www.crunchbase.com/organization/fitbit,23,http://twitter.com/parkjames
Naval Ravikant,https://www.crunchbase.com/person/naval-ravikant,Founder & Managing Partner,The Hit Forge,https://www.crunchbase.com/organization/the-hit-forge,24,http://twitter.com/naval
